,etat,marque,prix_euro,couleur,taille_ecran_pouce,capacite_stockage_Go,megapixel,systeme_exploitation,resolution_ecran,reseau,date_de_sortie,memoire,connecteur,double_sim,port_carte_SD,pliable,poids_g
2000,Très bon état,samsung,270.0,noir,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
2001,État correct,apple,440.0,noir,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
2002,Parfait état,apple,545.0,noir,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
2003,Parfait état,oppo,465.0,noir,6.7,512.0,48,Android,1440x3168,5G,2020,12.0,USB-C,Non,Non,Non,217
2004,Parfait état,sony,205.0,argent,6.0,64.0,19,Android,1440x2880,4G,2018,4.0,USB-C,Non,Oui,Non,193
2005,État correct,huawei,199.99,noir,6.4,128.0,48,Huawei Mobile Services,1080x2310,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
2006,État correct,samsung,323.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
2007,Très bon état,samsung,340.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
2008,Parfait état,samsung,399.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
2009,État correct,apple,149.0,argent,4.0,16.0,12,iOS,640x1136,4G,2016,2.0,Lightning + Jack 3.5mm,Non,Non,Non,113
2010,Parfait état,apple,115.0,argent,4.0,16.0,12,iOS,640x1136,4G,2016,2.0,Lightning + Jack 3.5mm,Non,Non,Non,113
2011,État correct,apple,209.0,or rose,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2012,Très bon état,apple,271.0,or rose,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2013,Très bon état,samsung,501.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
2014,État correct,apple,133.0,or rose,4.7,16.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
2015,État correct,apple,149.0,or,4.7,64.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
2016,Très bon état,samsung,200.0,argent polaire,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
2017,Parfait état,samsung,265.0,argent polaire,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
2018,État correct,apple,846.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2019,Très bon état,apple,881.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2020,Parfait état,apple,968.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2021,Très bon état,samsung,506.0,argent stellaire,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Non,Non,Non,168
2022,État correct,samsung,480.0,noir,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
2023,Très bon état,samsung,513.0,noir,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
2024,État correct,samsung,299.0,noir,6.5,128.0,48,Android,720x1600,5G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
2025,Parfait état,samsung,318.0,noir,6.5,128.0,48,Android,720x1600,5G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
2026,État correct,samsung,259.0,noir,6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
2027,Parfait état,samsung,263.0,noir,6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
2028,Très bon état,apple,449.0,rouge,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
2029,Parfait état,apple,503.0,rouge,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
2030,État correct,huawei,291.0,noir,6.3,128.0,40,Android,1080x2340,4G,2018,6.0,USB-C,Oui,Oui,Non,189
2031,Très bon état,huawei,306.0,noir,6.3,128.0,40,Android,1080x2340,4G,2018,6.0,USB-C,Oui,Oui,Non,189
2032,Très bon état,samsung,520.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
2033,Parfait état,samsung,572.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
2034,Très bon état,huawei,417.0,bleu aurore,6.4,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,192
2035,État correct,samsung,120.0,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
2036,Très bon état,samsung,172.0,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
2037,Parfait état,samsung,154.0,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
2038,État correct,apple,652.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
2039,Très bon état,apple,697.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
2040,Parfait état,apple,690.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
2041,État correct,apple,766.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
2042,Parfait état,apple,860.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
2043,Très bon état,samsung,137.0,noir,5.1,16.0,16,Android,1080x1920,4G,2014,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,130
2044,Parfait état,samsung,150.0,noir,5.1,16.0,16,Android,1080x1920,4G,2014,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,130
2045,État correct,huawei,219.0,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,USB-C,Non,Non,Non,165
2046,Parfait état,huawei,292.99,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,USB-C,Non,Non,Non,165
2047,Parfait état,xiaomi,282.0,gris,6.67,128.0,64,Android,1080x2400,5G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,214
2048,Très bon état,apple,103.0,or,6.1,256.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2049,Parfait état,apple,999.0,or,6.1,256.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2050,Parfait état,samsung,191.0,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,162
2051,État correct,samsung,372.0,blanc prisme,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
2052,État correct,apple,647.0,vert,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
2053,Parfait état,apple,681.0,vert,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
2054,État correct,apple,179.0,noir de jais,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
2055,Très bon état,apple,199.0,noir de jais,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
2056,État correct,apple,391.0,or,5.5,256.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
2057,Parfait état,samsung,358.44,blanc,6.5,128.0,48,Android,1080x2400,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,172
2058,État correct,samsung,321.0,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
2059,Parfait état,samsung,377.0,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
2060,Parfait état,samsung,205.0,or,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
2061,État correct,huawei,260.0,nacré,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
2062,Très bon état,apple,782.0,vert,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2063,Parfait état,apple,837.0,vert,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2064,Très bon état,samsung,96.0,or (sunrise gold),4.0,16.0,13,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,138
2065,État correct,apple,166.0,gris sidéral,5.5,32.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
2066,Très bon état,apple,239.0,gris sidéral,5.5,32.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
2067,Parfait état,apple,239.0,gris sidéral,5.5,32.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
2068,État correct,apple,431.0,noir,4.7,256.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
2069,Parfait état,apple,442.0,noir,4.7,256.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
2070,Très bon état,apple,908.0,argent,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2071,État correct,apple,301.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2072,Très bon état,apple,332.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2073,Parfait état,apple,322.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2074,État correct,samsung,78.0,noir,5.0,16.0,13,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Oui,Oui,Non,142
2075,Parfait état,samsung,102.0,noir,5.0,16.0,13,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Oui,Oui,Non,142
2076,État correct,samsung,97.0,noir,4.7,16.0,13,Android,720x1280,4G,2017,2.0,USB-C + Jack 3.5mm,Non,Oui,Non,138
2077,État correct,samsung,119.0,noir,5.6,32.0,16,Android,1080x2220,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,172
2078,État correct,samsung,298.0,noir,6.7,128.0,12,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,199
2079,Parfait état,samsung,347.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
2080,État correct,samsung,460.0,gris cosmique,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
2081,Très bon état,samsung,497.0,gris cosmique,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
2082,État correct,samsung,567.0,noir,6.9,128.0,40,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,222
2083,Très bon état,samsung,666.0,noir,6.9,128.0,40,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,222
2084,Parfait état,samsung,710.0,noir,6.9,128.0,40,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,222
2085,État correct,samsung,268.0,vert,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
2086,Parfait état,huawei,368.79,noir,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
2087,État correct,samsung,207.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
2088,Parfait état,samsung,247.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
2089,Très bon état,oneplus,373.0,bleu,6.6,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Oui,Non,206
2090,État correct,samsung,462.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
2091,Très bon état,samsung,493.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
2092,Parfait état,samsung,500.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
2093,Parfait état,samsung,560.79,argent,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
2094,Très bon état,samsung,461.0,noir,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
2095,Parfait état,samsung,524.0,noir,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
2096,État correct,apple,583.0,vert,6.1,256.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
2097,Parfait état,apple,654.0,vert,6.1,256.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
2098,Parfait état,samsung,216.0,noir,6.2,32.0,13,Android,720x1520,4G,2019,2.0,micro USB + Jack 3.5mm,Oui,Oui,Non,168
2099,Très bon état,samsung,262.0,rose,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
2100,État correct,samsung,235.0,bleu,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
2101,Très bon état,samsung,651.0,gris,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Non,Non,Non,171
2102,Parfait état,samsung,642.0,gris,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Non,Non,Non,171
2103,Parfait état,apple,296.0,noir de jais,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2104,État correct,samsung,384.0,noir,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Oui,Non,Non,168
2105,Très bon état,samsung,455.0,noir,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Oui,Non,Non,168
2106,Parfait état,samsung,490.0,noir,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Oui,Non,Non,168
2107,État correct,samsung,529.0,gris cosmique,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
2108,État correct,apple,269.0,or rose,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2109,Parfait état,apple,359.0,or rose,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2110,État correct,google,221.0,noir,5.5,64.0,"12,2",Android,1080x2160,4G,2018,4.0,USB-C,Non,Non,Non,148
2111,État correct,huawei,252.0,noir,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Non,Non,Non,180
2112,Très bon état,huawei,229.0,noir,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Non,Non,Non,180
2113,Très bon état,samsung,590.44,bleu,6.5,128.0,12,Android,1080x2400,5G,2020,8.0,USB-C,Oui,Oui,Non,190
2114,Parfait état,samsung,559.0,bleu,6.5,128.0,12,Android,1080x2400,5G,2020,8.0,USB-C,Oui,Oui,Non,190
2115,Très bon état,samsung,504.0,bleu,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
2116,Parfait état,samsung,589.0,bleu,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
2117,État correct,samsung,218.0,ultra violet,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
2118,Très bon état,huawei,555.64,argent givré,6.58,256.0,50,Huawei Mobile Services,1200x2640,5G,2020,8.0,USB-C,Oui,Oui,Non,209
2119,Parfait état,huawei,149.0,noir,5.84,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,145
2120,Parfait état,xiaomi,227.0,gris,6.67,128.0,64,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,209
2121,État correct,samsung,338.0,vert,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
2122,Très bon état,apple,769.0,mauve,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2123,Parfait état,apple,799.0,mauve,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2124,Parfait état,samsung,315.0,noir,6.7,128.0,48,Android,1080x2400,5G,2019,6.0,USB-C,Non,Oui,Non,206
2125,Très bon état,huawei,411.0,nacré,6.4,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C,Non,Oui,Non,192
2126,État correct,oppo,209.0,noir,6.5,64.0,48,Android,1080x2400,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,190
2127,Parfait état,samsung,265.0,blanc,6.4,128.0,25,Android,1080x2340,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,168
2128,Très bon état,huawei,392.0,noir,6.47,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C,Non,Oui,Non,192
2129,Parfait état,huawei,396.0,noir,6.47,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C,Non,Oui,Non,192
2130,Parfait état,apple,250.0,gris sidéral,5.5,64.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
2131,État correct,samsung,488.79,noir,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Non,Oui,Non,168
2132,Parfait état,samsung,110.0,noir,5.2,16.0,13,Android,720x1280,4G,2017,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,150
2133,État correct,samsung,89.0,noir,4.5,16.0,8,Android,720x1280,4G,2014,15.0,micro USB + Jack 3.5mm,Non,Oui,Non,120
2134,État correct,apple,382.0,argent,5.5,256.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
2135,Très bon état,apple,832.0,bleu,6.1,256.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2136,Parfait état,apple,860.0,bleu,6.1,256.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2137,Très bon état,apple,969.0,argent,6.1,256.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2138,Parfait état,samsung,198.0,noir,5.5,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,157
2139,Parfait état,samsung,208.0,blanc,6.5,128.0,48,Android,720x1600,4G,2020,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
2140,Parfait état,sony,171.0,bleu,5.2,64.0,19,Android,1080x1920,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
2141,État correct,samsung,283.7,blanc prisme,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
2142,Très bon état,samsung,309.0,blanc prisme,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
2143,Parfait état,samsung,333.0,blanc prisme,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,150
2144,État correct,xiaomi,303.0,noir,6.67,128.0,64,Android,1080x2340,5G,2020,6.0,USB-C,Oui,Non,Non,216
2145,État correct,samsung,185.99,blanc,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
2146,Très bon état,samsung,207.64,blanc,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
2147,Parfait état,apple,134.99,bleu pacifique,6.1,512.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
2148,État correct,huawei,168.0,noir,6.4,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,145
2149,Très bon état,huawei,193.0,noir,6.4,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,145
2150,Parfait état,huawei,158.0,noir,6.4,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,145
2151,État correct,google,339.0,noir,6.3,64.0,16,Android,1080x2280,4G,2019,6.0,USB-C,Non,Non,Non,162
2152,État correct,samsung,496.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,8.0,USB-C,Oui,Oui,Non,188
2153,Très bon état,samsung,519.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,8.0,USB-C,Oui,Oui,Non,188
2154,Parfait état,samsung,552.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,8.0,USB-C,Oui,Oui,Non,188
2155,Très bon état,apple,600.0,gris sidéral,6.5,512.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
2156,Parfait état,apple,639.0,gris sidéral,6.5,512.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
2157,Parfait état,xiaomi,181.9,gris,6.53,64.0,48,Android,1080x2340,4G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,198
2158,Parfait état,samsung,355.0,bleu,6.4,128.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,201
2159,État correct,apple,457.0,gris sidéral,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
2160,Très bon état,apple,514.0,gris sidéral,5.8,512.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
2161,État correct,apple,720.0,vert nuit,5.8,512.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
2162,Parfait état,apple,830.0,vert nuit,5.8,512.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
2163,Parfait état,samsung,243.0,rose pourpre,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
2164,Très bon état,samsung,335.0,or (sunrise gold),6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
2165,Très bon état,huawei,98.0,noir,5.2,16.0,13,Android,1080x1920,4G,2016,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,147
2166,Parfait état,huawei,169.0,noir,5.2,16.0,13,Android,1080x1920,4G,2016,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,147
2167,État correct,samsung,239.0,blanc,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
2168,Très bon état,samsung,225.0,blanc,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
2169,Très bon état,samsung,683.24,blanc,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,169
2170,Parfait état,samsung,687.0,blanc,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,169
2171,Très bon état,samsung,455.0,argent stellaire,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Oui,Non,Non,168
2172,Très bon état,apple,799.0,noir,6.1,256.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
2173,État correct,samsung,219.0,bleu,6.4,128.0,25,Android,1080x2340,4G,2019,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,168
2174,Parfait état,samsung,665.0,noir,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,169
2175,État correct,apple,728.0,gris sidéral,5.8,512.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
2176,Très bon état,apple,800.0,gris sidéral,5.8,512.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
2177,Parfait état,apple,779.0,gris sidéral,5.8,512.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
2178,État correct,apple,846.0,gris sidéral,6.5,512.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
2179,Très bon état,apple,183.0,or,4.7,128.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
2180,État correct,samsung,200.0,noir,6.0,64.0,24,Android,1080x2220,4G,2018,4.0,micro USB + Jack 3.5mm,Oui,Oui,Non,168
2181,Parfait état,samsung,170.0,noir,6.9,256.0,108,Android,1440x3088,5G,2020,12.0,USB-C,Non,Oui,Non,208
2182,État correct,apple,277.0,or,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2183,Parfait état,apple,249.0,or,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2184,Parfait état,oneplus,321.0,noir,6.4,128.0,20,Android,1080x2340,4G,2018,8.0,USB-C,Oui,Non,Non,185
2185,État correct,apple,291.0,noir,5.5,256.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
2186,Parfait état,samsung,480.9,blanc,6.4,512.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,160
2187,Parfait état,huawei,117.0,or,5.6,32.0,13,Android,1080x2160,4G,2018,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,144
2188,État correct,samsung,149.0,noir,6.0,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Non,Oui,Non,174
2189,État correct,sony,145.0,bleu,6.0,64.0,13,Android,1080x2520,4G,2019,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,162
2190,État correct,huawei,165.0,noir,5.1,64.0,20,Android,1080x1920,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,145
2191,Très bon état,huawei,252.0,twilight,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Oui,Non,Non,180
2192,Parfait état,huawei,299.0,twilight,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Oui,Non,Non,180
2193,État correct,samsung,499.0,bleu,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
2194,Très bon état,samsung,514.0,bleu,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
2195,Parfait état,oppo,556.9,noir,6.55,256.0,50,Android,1080x2400,5G,2021,12.0,USB-C,Oui,Non,Non,184
2196,État correct,huawei,89.0,noir,5.0,16.0,12,Android,1080x1920,4G,2017,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,147
